age,prev
15,0.011950769230769232
16,0.024423076923076926
17,0.03975461538461539
18,0.05642307692307692
19,0.06971307692307693
20,0.07866384615384617
21,0.08442923076923077
22,0.08736846153846155
23,0.08852538461538463
24,0.08818615384615384
25,0.08661615384615384
26,0.08396615384615386
27,0.08119000000000001
28,0.07842076923076924
29,0.07533384615384615
30,0.07182692307692308
31,0.06854538461538462
32,0.06547384615384616
33,0.06270692307692309
34,0.060061538461538465
35,0.05691076923076923
36,0.05256538461538461
37,0.04770461538461539
38,0.042366153846153845
39,0.03633692307692308
40,0.02939076923076923
41,0.023083846153846156
42,0.017233846153846155
43,0.012176153846153847
44,0.008032307692307693
